BOOLEAN

Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
TYPE_NAME,"java_object","null","null","null","null","null",
DATA_TYPE,"2000","null","null","null","null","null",
PRECISION,"2147483647","null","null","null","null","null",
LITERAL_PREFIX,"null","null","null","null","null","null",
LITERAL_SUFFIX,"null","null","null","null","null","null",
CREATE_PARAMS,"null","null","null","null","null","null",
NULLABLE,"1","null","null","null","null","null",
CASE_SENSITIVE,"0","null","null","null","null","null",
SEARCHABLE,"3","null","null","null","null","null",
UNSIGNED_ATTRIBUTE,"0","null","null","null","null","null",
FIXED_PREC_SCALE,"0","null","null","null","null","null",
AUTO_INCREMENT,"0","null","null","null","null","null",
LOCAL_TYPE_NAME,"java_object","null","null","null","null","null",
MINIMUM_SCALE,"0","null","null","null","null","null",
MAXIMUM_SCALE,"0","null","null","null","null","null",
SQL_DATA_TYPE,"2000","null","null","null","null","null",
SQL_DATETIME_SUB,"null","null","null","null","null","null",
NUM_PREC_RADIX,"10","null","null","null","null","null",

LONG

Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
TYPE_NAME,"long","null","null","LONG","null","null",
DATA_TYPE,"2","null","null","-1","null","null",
PRECISION,"19","null","null","2147483647","null","null",
LITERAL_PREFIX,"null","null","null","'","null","null",
LITERAL_SUFFIX,"null","null","null","'","null","null",
CREATE_PARAMS,"null","null","null","null","null","null",
NULLABLE,"1","null","null","1","null","null",
CASE_SENSITIVE,"0","null","null","1","null","null",
SEARCHABLE,"3","null","null","0","null","null",
UNSIGNED_ATTRIBUTE,"0","null","null","0","null","null",
FIXED_PREC_SCALE,"0","null","null","0","null","null",
AUTO_INCREMENT,"0","null","null","0","null","null",
LOCAL_TYPE_NAME,"long","null","null","LONG","null","null",
MINIMUM_SCALE,"0","null","null","0","null","null",
MAXIMUM_SCALE,"0","null","null","0","null","null",
SQL_DATA_TYPE,"2","null","null","null","null","null",
SQL_DATETIME_SUB,"null","null","null","null","null","null",
NUM_PREC_RADIX,"10","null","null","10","null","null",

SMALLINT

Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
TYPE_NAME,"smallint","SMALLINT","int2","NUMBER","SMALLINT","smallint",
DATA_TYPE,"5","5","5","5","5","5",
PRECISION,"5","5","0","5","5","5",
LITERAL_PREFIX,"null","","null","null","null","null",
LITERAL_SUFFIX,"null","","null","null","null","null",
CREATE_PARAMS,"null","[(M)] [UNSIGNED] [ZEROFILL]","null","(5)","null","null",
NULLABLE,"1","1","1","1","1","1",
CASE_SENSITIVE,"0","false","f","0","0","0",
SEARCHABLE,"3","3","3","3","2","2",
UNSIGNED_ATTRIBUTE,"0","true","f","0","0","0",
FIXED_PREC_SCALE,"0","false","f","1","1","0",
AUTO_INCREMENT,"0","true","f","0","0","0",
LOCAL_TYPE_NAME,"smallint","SMALLINT","null","NUMBER","null","smallint",
MINIMUM_SCALE,"0","0","0","-84","0","0",
MAXIMUM_SCALE,"0","0","0","127","0","0",
SQL_DATA_TYPE,"5","0","null","null","5","5",
SQL_DATETIME_SUB,"null","0","null","null","null","null",
NUM_PREC_RADIX,"10","10","10","10","10","10",

VARCHAR

Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
TYPE_NAME,"varchar","VARCHAR","varchar","VARCHAR2","VARCHAR","varchar",
DATA_TYPE,"12","12","12","12","12","12",
PRECISION,"131072","65535","10485760","4000","4000","8000",
LITERAL_PREFIX,"'","'","'","'","'","'",
LITERAL_SUFFIX,"'","'","'","'","'","'",
CREATE_PARAMS,"null","(M)","null","null","LENGTH","max length",
NULLABLE,"1","1","1","1","1","1",
CASE_SENSITIVE,"1","false","t","1","1","0",
SEARCHABLE,"3","3","3","3","3","3",
UNSIGNED_ATTRIBUTE,"0","false","t","0","null","null",
FIXED_PREC_SCALE,"0","false","f","0","0","0",
AUTO_INCREMENT,"0","false","f","0","null","null",
LOCAL_TYPE_NAME,"varchar","VARCHAR","null","VARCHAR2","null","varchar",
MINIMUM_SCALE,"0","0","0","0","null","null",
MAXIMUM_SCALE,"0","0","0","0","null","null",
SQL_DATA_TYPE,"12","0","null","null","12","12",
SQL_DATETIME_SUB,"null","0","null","null","null","null",
NUM_PREC_RADIX,"10","10","10","10","null","null",

TIMESTAMP

Parameter,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL,
TYPE_NAME,"timestamp","TIMESTAMP","timestamp","TIMESTAMP","TIMESTAMP","datetime",
DATA_TYPE,"93","93","93","93","93","93",
PRECISION,"23","0","6","11","32","23",
LITERAL_PREFIX,"'","'","'","null","'","'",
LITERAL_SUFFIX,"'","'","'","null","'","'",
CREATE_PARAMS,"null","[(M)]","null","null","null","null",
NULLABLE,"1","1","1","1","1","1",
CASE_SENSITIVE,"0","false","f","0","0","0",
SEARCHABLE,"3","3","3","3","2","3",
UNSIGNED_ATTRIBUTE,"0","false","t","0","null","null",
FIXED_PREC_SCALE,"0","false","f","0","0","0",
AUTO_INCREMENT,"0","false","f","0","null","null",
LOCAL_TYPE_NAME,"timestamp","TIMESTAMP","null","TIMESTAMP","null","datetime",
MINIMUM_SCALE,"0","0","0","0","0","3",
MAXIMUM_SCALE,"0","0","0","0","12","3",
SQL_DATA_TYPE,"93","0","null","null","9","9",
SQL_DATETIME_SUB,"null","0","null","null","3","3",
NUM_PREC_RADIX,"10","10","10","10","null","null",

